from	from	p-acp	from	from	0
the	the	dt	the	the	0
first	first	ord	first	first	0
the	the	dt	the	the	0
Emperour	Emperour	n1	Emperor	emperor	0
Adrian	Adrian	np1	Adrian	Adrian	0
vvill	vvill	vmb	will	will	0
excuse	excuse	vvi	excuse	excuse	0
me	me	pno11	me	i	0
,	,	,	,	,	0
vvho	vvho	r-crq	who	who	0
commēded	commēded	vvd	commended	commend	0
vnto	vnto	p-acp	unto	unto	0
Minutius	Minutius	np1	Minutius	Minutius	0
his	his	po31	his	his	0
Proconsul	Proconsul	n1	Proconsul	proconsul	0
of	of	pp-f	of	of	0
Asia	Asia	np1	Asia	Asia	0
,	,	,	,	,	0
as	as	c-acp	as	as	0
a	a	dt	a	a	0
thing	thing	n1	thing	thing	0
of	of	pp-f	of	of	0
importaunce	importaunce	n1	importance	importance	0
,	,	,	,	,	0
ne	ne	ccx	ne	ne	0
no	no	dx	no	no	0
∣	∣	sy	∣	∣	0
men	men	n2	men	man	0
condemnaretur	condemnaretur	fw-la	condemnaretur	condemnaretur	0
sed	sed	fw-la	sed	sed	0
crimen	crimen	fw-la	crimen	crimen	0
:	:	:	:	:	0
that	that	cst	that	that	0
the	the	dt	the	the	0
name	name	n1	name	name	0
should	should	vmd	should	shall	0
not	not	xx	not	not	0
be	be	vbi	be	be	0
condemned	condemned	vvn	condemned	condemn	0
,	,	,	,	,	0
but	but	cc-acp	but	but	0
the	the	dt	the	the	0
crime	crime	n1	crime	crime	0
.	.	.	.	.	1
For	For	p-acp	For	for	0
,	,	,	,	,	0
Tert.	Tert.	np1	Tert.	Tert.	0
Apol.	Apol.	np1	Apol.	Apol.	0
c	c	sy	c	c	0
..	..	..	..	..	0
saythe	saythe	vvb	say	say	0
Tertulian	Tertulian	np1	Tertulian	Tertulian	0
against	against	p-acp	against	against	0
them	them	pno32	them	they	0
that	that	cst	that	that	0
ha	ha	vhb	would	have	0
∣	∣	sy	∣	∣	0
ted	ted	n1	ted	ted	0
Christians	Christians	np1	Christians	Christians	0
,	,	,	,	,	0
in	in	p-acp	in	in	0
vvhom	vvhom	ro-crq	whom	who	0
they	they	pns32	they	they	0
could	could	vmd	could	can	0
finde	finde	vvi	find	find	0
no	no	dx	no	no	0
other	other	j-jn	other	other	0
thīg	thīg	n1	thing	thing	0
to	to	pc-acp	to	to	0
hate	hate	vvi	hate	hate	0
,	,	,	,	,	0
but	but	cc-acp	but	but	0
the	the	dt	the	the	0
name	name	n1	name	name	0
,	,	,	,	,	0
chri	chri	fw-la	chri	chri	0
∣	∣	sy	∣	∣	0
stian	stian	n1	stian	stian	0
,	,	,	,	,	0
vvhich	vvhich	r-crq	which	which	0
they	they	pns32	they	they	0
should	should	vmd	should	shall	0
haue	haue	vhi	have	have	0
loued	loued	vvn	loved	love	0
:	:	:	:	:	0
S	S	n1	S	saint	0
nominis	nominis	fw-la	nominis	nominis	0
odium	odium	fw-la	odium	odium	0
est	est	fw-la	est	est	0
,	,	,	,	,	0
quis	quis	fw-la	quis	quis	0
nominis	nominis	fw-la	nominis	nominis	0
reatus	reatus	fw-la	reatus	reatus	0
?	?	?	?	?	0
quae	quae	fw-la	quae	quae	0
ac	ac	fw-la	ac	ac	0
∣	∣	sy	∣	∣	0
cusatio	cusatio	fw-la	cusatio	cusatio	0
vocabulorum	vocabulorum	fw-la	vocabulorum	vocabulorum	0
?	?	?	?	?	0
nisi	nisi	fw-la	nisi	nisi	0
aut	aut	fw-la	aut	aut	0
barbarum	barbarum	fw-la	barbarum	barbarum	0
quid	quid	fw-la	quid	quid	0
so	so	av	so	so	0
∣	∣	sy	∣	∣	0
net	net	n1	net	net	0
,	,	,	,	,	0
aut	aut	fw-la	aut	aut	0
infaustum	infaustum	fw-la	infaustum	infaustum	0
,	,	,	,	,	0
aut	aut	fw-la	aut	aut	0
maledicum	maledicum	fw-la	maledicum	maledicum	0
,	,	,	,	,	0
aut	aut	fw-la	aut	aut	0
impu	impu	fw-la	impu	impu	0
∣	∣	sy	∣	∣	0
dicum	dicum	n1	dicum	dicum	0
.	.	.	.	.	1
If	If	cs	If	if	0
the	the	dt	the	the	0
name	name	n1	name	name	0
he	he	pns31	he	he	0
hated	hated	vvd	hated	hate	0
,	,	,	,	,	0
vvhat	vvhat	r-crq	what	what	0
is	is	vbz	is	be	0
the	the	dt	the	the	0
guilte	guilte	n1	guilt	guilt	0
of	of	pp-f	of	of	0
the	the	dt	the	the	0
name	name	n1	name	name	0
?	?	?	?	?	0
vvhat	vvhat	q-crq	what	what	0
accusation	accusation	n1	accusation	accusation	0
is	is	vbz	is	be	0
ther	ther	a-acp	there	there	0
of	of	pp-f	of	of	0
vvor	vvor	n1	vvor	vvor	0
∣	∣	sy	∣	∣	0
des	des	fw-fr	des	des	0
?	?	?	?	?	0
vnlesse	vnlesse	cs	unless	unless	0
they	they	pns32	they	they	0
sound	sound	vvb	found	sound	0
of	of	pp-f	of	of	0
barbarisme	barbarisme	n1	barbarism	barbarism	0
,	,	,	,	,	0
or	or	cc	or	or	0
vnlucki	vnlucki	fw-la	vnlucki	vnlucki	0
∣	∣	sy	∣	∣	0
nes	nes	zz	nes	nes	0
,	,	,	,	,	0
or	or	cc	or	or	0
maledictiō	maledictiō	n1	malediction	malediction	0
,	,	,	,	,	0
or	or	cc	or	or	0
vnchastnes	vnchastnes	n1	unchasteness	unchasteness	0
.	.	.	.	.	1
And	And	cc	And	and	0
therfore	therfore	av	therefore	therefore	0
if	if	cs	if	if	0
Preest-hood	Preest-hood	n1	Priesthood	priesthood	0
be	be	vbb	be	be	0
no	no	dx	no	no	0
offence	offence	n1	offence	offence	0
,	,	,	,	,	0
the	the	dt	the	the	0
name	name	n1	name	name	0
Preest	Preest	n1	Priest	priest	0
,	,	,	,	,	0
is	is	vbz	is	be	0
deuoid	deuoid	j	devoid	devoid	0
of	of	pp-f	of	of	0
harme	harme	n1	harm	harm	0
,	,	,	,	,	0
and	and	cc	and	and	0
if	if	cs	if	if	0
Preest	Preest	n1	Priest	priest	0
∣	∣	sy	∣	∣	0
hood	hood	n1	hood	hood	0
be	be	vbi	be	be	0
noe	noe	dx	no	no	0
treason	treason	n1	treason	treason	0
,	,	,	,	,	0
a	a	dt	a	a	0
Preest	Preest	n1	Priest	priest	0
in	in	p-acp	in	in	0
that	that	cst	that	that	0
he	he	pns31	he	he	0
is	is	vbz	is	be	0
a	a	dt	a	a	0
Preest	Preest	n1	Priest	priest	0
,	,	,	,	,	0
can	can	vmb	can	can	0
be	be	vbi	be	be	0
no	no	dx	no	no	0
traitour	traitour	n1	traitor	traitor	0
:	:	:	:	:	0
Vnlesse	Vnlesse	cs	Unless	unless	0
vve	vve	pns12	we	we	0
vvill	vvill	vmb	will	will	0
accounte	accounte	vvi	account	account	0
Christe	Christe	np1	Christe	Christe	0
and	and	cc	and	and	0
his	his	po31	his	his	0
Apostles	Apostles	n2	Apostles	apostle	0
traytours	traytours	n2	traitors	traitor	0
,	,	,	,	,	0
vvho	vvho	r-crq	who	who	0
vvere	vvere	vbdr	were	be	0
Preestes	Preestes	n2	Priests	priest	0
,	,	,	,	,	0
and	and	cc	and	and	0
the	the	dt	the	the	0
first	first	ord	first	first	0
Preestes	Preestes	n2	Priests	priest	0
of	of	pp-f	of	of	0
the	the	dt	the	the	0
nevv	nevv	j	new	new	0
lavve	lavve	n1	law	law	0
,	,	,	,	,	0
&	&	cc	&	and	0
esteem	esteem	vvi	esteem	esteem	0
after	after	p-acp	after	after	0
the	the	dt	the	the	0
same	same	d	same	same	0
manner	manner	n1	manner	manner	0
,	,	,	,	,	0
of	of	pp-f	of	of	0
all	all	d	all	all	0
the	the	dt	the	the	0
ancient	ancient	j	ancient	ancient	0
Preestes	Preestes	n2	Priests	priest	0
both	both	d	both	both	0
of	of	pp-f	of	of	0
Englād	Englād	np1	Englād	England	0
,	,	,	,	,	0
and	and	cc	and	and	0
other	other	n-jn	other	other	0
coun	coun	vvb	con	con	0
∣	∣	sy	∣	∣	0
tres	tres	fw-la	tres	tres	0
,	,	,	,	,	0
vvhome	vvhome	r-crq	whom	who	0
Kinges	Kinges	n2	Kings	king	0
and	and	cc	and	and	0
Emperours	Emperours	n2	Emperors	emperor	0
ha	ha	vhb	would	have	0
∣	∣	sy	∣	∣	0
ue	ue	zz	ue	ue	0
honoured	honoured	vvn	honoured	honour	0
as	as	p-acp	as	as	0
their	their	po32	their	their	0
