Scotland	Scotland	np1	Scotland	Scotland	0
,	,	,	,	,	0
which	which	r-crq	which	which	0
God	God	np1	God	God	0
hath	hath	vhz	hath	have	0
visi	visi	fw-la	visi	visi	0
∣	∣	sy	∣	∣	0
ted	ted	j	ted	ted	0
now	now	av	now	now	0
of	of	pp-f	of	of	0
late	late	av-j	late	late	0
extraordinarily	extraordinarily	av-j	extraordinarily	extraordinary	0
,	,	,	,	,	0
by	by	p-acp	by	by	0
reason	reason	n1	reason	reason	0
of	of	pp-f	of	of	0
the	the	dt	the	the	0
extra	extra	fw-la	extra	extra	0
∣	∣	sy	∣	∣	0
ordinary	ordinary	n1	ordinary	ordinary	0
and	and	cc	and	and	0
barbarous	barbarous	j	barbarous	barbarous	0
proceeding	proceeding	n-vvg	proceeding	proceed	0
of	of	pp-f	of	of	0
your	your	po22	your	your	0
enemyes	enemyes	n2	enemies	enemy	0
in	in	p-acp	in	in	0
your	your	po22	your	your	0
behalfe	behalfe	n1	behalf	behalf	0
(	(	(	(	(	0
Et	Et	fw-la	Et	et	0
inimici	inimici	fw-la	inimici	inimici	0
vestri	vestri	fw-la	vestri	vestri	0
sunt	sunt	fw-la	sunt	sunt	0
Iudices	Iudices	n2	Judices	judice	0
)	)	)	)	)	0
as	as	p-acp	as	as	0
your	your	po22	your	your	0
very	very	j	very	very	0
enemies	enemies	n2	enemies	enemy	0
witnesse	witnesse	vvb	witness	witness	0
the	the	dt	the	the	0
same	same	d	same	same	0
.	.	.	.	.	1
Your	Your	po22	Your	your	0
Countrey	Countrey	n1	Country	country	0
of	of	pp-f	of	of	0
Scotland	Scotland	np1	Scotland	Scotland	0
hath	hath	vhz	hath	have	0
been	been	vbn	been	be	0
exceeding	exceeding	vvg	exceeding	exceed	0
famous	famous	j	famous	famous	0
and	and	cc	and	and	0
reuowned	reuowned	vvn	reuowned	reuown	0
in	in	p-acp	in	in	0
forraine	forraine	j	foreign	foreign	0
nations	nations	n2	nations	nation	0
,	,	,	,	,	0
by	by	p-acp	by	by	0
reason	reason	n1	reason	reason	0
of	of	pp-f	of	of	0
antiquity	antiquity	n1	antiquity	antiquity	0
&	&	cc	&	and	0
constācy	constācy	n1	constancy	constancy	0
of	of	pp-f	of	of	0
the	the	dt	the	the	0
Catholike	Catholike	jp	Catholic	catholic	0
religion	religion	n1	religion	religion	0
,	,	,	,	,	0
with	with	p-acp	with	with	0
∣	∣	sy	∣	∣	0
out	out	av	out	out	0
any	any	d	any	any	0
interruption	interruption	n1	interruption	interruption	0
,	,	,	,	,	0
the	the	dt	the	the	0
space	space	n1	space	space	0
of	of	pp-f	of	of	0
fourteene	fourteene	crd	fourteene	fourteen	0
hundred	hundred	crd	hundred	hundred	0
yeares	yeares	n2	years	year	0
,	,	,	,	,	0
without	without	p-acp	without	without	0
any	any	d	any	any	0
marke	marke	n1	mark	mark	0
of	of	pp-f	of	of	0
heresy	heresy	n1	heresy	heresy	0
or	or	cc	or	or	0
schisme	schisme	n1	schism	schism	0
,	,	,	,	,	0
as	as	c-acp	as	as	0
(	(	(	(	(	0
be	be	vbi	be	be	0
∣	∣	sy	∣	∣	0
sides	sides	n2	sides	side	0
▪	▪	▪	▪	▪	0
many	many	d	many	many	0
others	others	n2-jn	others	other	0
history-writers	history-writers	n2	history-writers	history-writer	0
)	)	)	)	)	0
a	a	dt	a	a	0
famous	famous	j	famous	famous	0
forrayne	forrayne	j	foreign	foreign	0
writer	writer	n1	writer	writer	0
witnesseth	witnesseth	vvz	witnesseth	witness	0
saying	saying	vvg	saying	say	0
thus	thus	av	thus	thus	0
:	:	:	:	:	0
NullaBozius	NullaBozius	np1	NullaBozius	NullaBozius	0
lib	lib	n1	lib	lib	0
.	.	.	.	.	1
8.	8.	crd	8.	8.	0
de	de	fw-mi	de	de	0
sig	sig	fw-mi	sig	sig	0
.	.	.	.	.	1
Eccles.	Eccles.	np1	Eccles.	Eccles.	0
cap	cap	n1	cap	cap	0
.	.	.	.	.	1
1.	1.	crd	1.	1.	0
gens	gens	fw-la	gens	gens	0
è	è	fw-la	è	è	0
.	.	.	.	.	1
Boreali	Boreali	np1	Boreali	Boreali	0
∣	∣	sy	∣	∣	0
bu	bu	zz	bu	bu	0
tamdui	tamdui	uh	tamdui	tamdui	0
perstitit	perstitit	fw-fr	perstitit	perstitit	0
in	in	p-acp	in	in	0
vnanimi	vnanimi	fw-la	vnanimi	vnanimi	0
Religionis	Religionis	fw-la	Religionis	religionis	0
vnius	vnius	fw-la	vnius	unius	0
consensu	consensu	fw-la	consensu	consensu	0
,	,	,	,	,	0
vt	vt	fw-la	vt	ut	0
Scotia	Scotia	np1	Scotia	Scotia	0
:	:	:	:	:	0
and	and	cc	and	and	0
by	by	p-acp	by	by	0
reason	reason	n1	reason	reason	0
of	of	pp-f	of	of	0
this	this	d	this	this	0
constancy	constancy	n1	constancy	constancy	0
in	in	p-acp	in	in	0
religion	religion	n1	religion	religion	0
,	,	,	,	,	0
Scotland	Scotland	np1	Scotland	Scotland	0
was	was	vbds	was	be	0
alwayes	alwayes	av	always	always	0
free	free	j	free	free	0
frō	frō	p-acp	from	from	0
the	the	dt	the	the	0
yoake	yoake	n1	yoke	yoke	0
and	and	cc	and	and	0
dominion	dominion	n1	dominion	dominion	0
of	of	pp-f	of	of	0
forraine	forraine	j	foreign	foreign	0
Kings	Kings	n2	Kings	king	0
,	,	,	,	,	0
saith	saith	vvz	says	say	0
the	the	dt	the	the	0
same	same	d	same	same	0
writer	writer	n1	writer	writer	0
:	:	:	:	:	0
NullaEodem	NullaEodem	fw-la	NullaEodem	nullaeodem	0
loco	loco	fw-la	loco	loco	0
.	.	.	.	.	0
gens	gens	fw-la	gens	gens	0
njus	njus	fw-la	njus	njus	0
res	res	fw-la	res	res	0
vel	vel	fw-la	vel	vel	0
gracis	gracis	fw-la	gracis	gracis	0
vel	vel	fw-la	vel	vel	0
latini	latini	fw-la	latini	latini	0
scriptis	scriptis	fw-la	scriptis	scriptis	0
illustratae	illustratae	fw-la	illustratae	illustratae	0
,	,	,	,	,	0
tāto	tāto	fw-la	tāto	tāto	0
tēpore	tēpore	fw-la	tēpore	tēpore	0
indigenas	indigenas	n2	indigenas	indigena	0
habuit	habuit	fw-la	habuit	habuit	0
reges	reges	fw-la	reges	reges	0
,	,	,	,	,	0
vt	vt	fw-la	vt	ut	0
Scotia	Scotia	np1	Scotia	Scotia	0
.	.	.	.	.	1
Your	Your	po22	Your	your	0
countrey	countrey	n1	country	country	0
was	was	vbds	was	be	0
in	in	p-acp	in	in	0
such	such	d	such	such	0
manner	manner	n1	manner	manner	0
ennobled	ennobled	vvn	ennobled	ennoble	0
with	with	p-acp	with	with	0
many	many	d	many	many	0
holy	holy	j	holy	holy	0
,	,	,	,	,	0
learned	learned	j	learned	learned	0
&	&	cc	&	and	0
fa	fa	zz	fa	fa	0
∣	∣	sy	∣	∣	0
mous	mous	n1	mous	mous	0
Bishops	Bishops	n2	Bishops	bishop	0
,	,	,	,	,	0
who	who	r-crq	who	who	0
by	by	p-acp	by	by	0
reasō	reasō	n1	reason	reason	0
of	of	pp-f	of	of	0
their	their	po32	their	their	0
great	great	j	great	great	0
zeale	zeale	n1	zeal	zeal	0
&	&	cc	&	and	0
cha	cha	pns11|vhb	cham	I|have	0
∣	∣	sy	∣	∣	0
rity	rity	n1	rity	rity	0
did	did	vdd	did	do	0
preach	preach	vvi	preach	preach	0
the	the	dt	the	the	0
Catholike	Catholike	jp	Catholic	catholic	0
&	&	cc	&	and	0
Roman	Roman	njp	Roman	roman	0
religion	religion	n1	religion	religion	0
in	in	p-acp	in	in	0
di	di	zz	di	di	0
∣	∣	sy	∣	∣	0
uers	uers	fw-la	uers	uers	0
forraine	forraine	j	foreign	foreign	0
Natiōs	Natiōs	n2	Nations	nation	0
,	,	,	,	,	0
specially	specially	av-j	specially	special	0
in	in	p-acp	in	in	0
Germany	Germany	np1	Germany	Germany	0
,	,	,	,	,	0
where	where	c-crq	where	where	0
they	they	pns32	they	they	0
were	were	vbdr	were	be	0
preferred	preferred	vvn	preferred	prefer	0
to	to	p-acp	to	to	0
Ecclesiasticall	Ecclesiasticall	j	Ecclesiastical	ecclesiastical	0
and	and	cc	and	and	0
politicall	politicall	j	political	political	0
dignity	dignity	n1	dignity	dignity	0
by	by	p-acp	by	by	0
Charles	Charles	np1	Charles	Charles	0
the	the	dt	the	the	0
great	great	j	great	great	0
,	,	,	,	,	0
and	and	cc	and	and	0
Emperour	Emperour	n1	Emperor	emperor	0
,	,	,	,	,	0
before	before	p-acp	before	before	0
other	other	j-jn	other	other	0
nati	nati	n1	nati	nati	0
∣	∣	sy	∣	∣	0
ons	ons	pp-f|pno12	ons	of|we	0
,	,	,	,	,	0
by	by	p-acp	by	by	0
reason	reason	n1	reason	reason	0
of	of	pp-f	of	of	0
their	their	po32	their	their	0
Holinesse	Holinesse	n1	Holiness	holiness	0
,	,	,	,	,	0
Vertue	Vertue	n1	Virtue	virtue	0
,	,	,	,	,	0
and	and	cc	and	and	0
Fidelity	Fidelity	n1	Fidelity	fidelity	0
sayth	sayth	vvz	say	say	0
PaulusLib	PaulusLib	j	PaulusLib	pauluslib	0
.	.	.	.	.	1
2.	2.	crd	2.	2.	0
de	de	dt	the	the	0
gest	gest	n1	gest	gest	0
.	.	.	.	.	1
Fran.	Fran.	np1	Fran.	Fran.	0
Aemilius	Aemilius	np1	Aemilius	Aemilius	0
:	:	:	:	:	0
Honores	Honores	fw-la	Honores	honores	0
magistratus	magistratus	fw-la	magistratus	magistratus	0
{	{	{	{	{	0
que	que	fw-fr	que	que	0
}	}	}	}	}	0
alie	alie	av-j	alie	alie	0
∣	∣	sy	∣	∣	0
nigenis	nigenis	n1	nigenis	nigenis	0
,	,	,	,	,	0
&	&	cc	&	and	0
imprimis	imprimis	fw-la	imprimis	imprimis	0
Scotis	Scotis	np1	Scotis	Scotis	0
,	,	,	,	,	0
