id,bipartite,displayname,category
136195,person,E Hayward,L
136198,person,Polo,L
111645,person,St Peter,R
128043,person,Worster-Fight,L
111660,person,Alice Walter,L
111670,person,Burton,L
136248,person,Asinius Pollio,H
136256,person,Primate,U
103492,person,Richard Allestry,L
119890,person,Chalcedon,H
128084,person,Luce,U
111716,person,Aaron,R
128109,person,Amalek,R
136303,person,Hammond,L
111734,person,David,R
119927,person,Juvenal,H
119928,person,Mr Hickman,L
136315,person,Esau,R
111747,person,Brian Lord,L
103564,person,Arpinum,H
128141,person,Will,L
119957,person,Artus,U
103579,person,Alexander Alexander,H
128158,person,Mr Watson,L
119967,person,Constance,H
128167,person,Leopold Isaurus,H
136360,person,Gervasius Dorobernensis,H
111787,person,Pulpit,U
128172,person,Bishop Brownrigg,L
111795,person,Philip Of Macedon,H
119987,person,Saturn,F
136371,person,Thomas Pierce,L
136374,person,Scoggin,L
111821,person,Dunstar Castle,L
120021,person,Gerson,L
128216,person,Cujacius,L
120035,person,Regiae,L
120052,person,Thomas Violet,L
111880,person,Wil Bartholomew,L
128278,person,Levi,R
136472,person,General Monk,L
103710,person,Julius,H
111909,person,Sisera,R
111911,person,Asa,R
111920,person,Atkyns,L
128309,person,Waller,L
120125,person,Prophet Samuel,R
136509,person,Essaei,R
120154,person,Monarchae Carolo,L
103774,person,Duke Of Albemarlie,L
103775,person,John Kitchin,L
136546,person,Tenent,L
128357,person,Hero,F
136577,person,Baron Of Henden,L
112002,person,Hannibal Aevi Caesaridum,H
112003,person,Synaetas,U
112006,person,Civica,H
103818,person,Dr Sanderson,L
120203,person,Alien,U
136588,person,Mr Hooker,L
120211,person,Y●Avil,U
112023,person,Hope God,R
120217,person,Jethro,R
103847,person,William Lord Lenthal,L
128424,person,Chvbediscon,U
120235,person,Lord Bishop Of Sarum,L
128431,person,Lawrance Bromfield,L
120246,person,Matthew Gilley,L
128439,person,Carole Magne,L
136631,person,Tertull,H
128441,person,Fabian Philipps,L
136636,person,Jonahs Gourd,R
112065,person,Tiperary,L
128449,person,John Dormer,L
120257,person,Enoch,R
112069,person,Philip,U
136654,person,Nonsuch,L
128471,person,James Vi,L
112089,person,Elizabeth Countess Of Clare,L
136665,person,Orpheus,F
136686,person,Lord Lumley,L
